Field,endive        ,romaine      , sorghum     ,soybeans  ,strawberries      ,wheat
1,0,0.945491,0.0545089,0,0,0
2,0,1,2.90E-17,0,0,0
3,0,0,-3.43E-18,0,0,1
4,0,0,-5.10E-18,0,0,1
5,1,0,0,0,0,0
6,1,0,0,0,0,8.71E-17
7,0,1,9.15E-17,0,0,0
8,0,0,1,0,3.57E-18,0
9,0,0,0.229979,0,0.770021,0
10,0,0,0,0,1,0
11,0,1,2.19E-16,0,0,0
12,0,1,0,0,0,1.58E-16
13,1,0,0,0,0,0
14,0,0,0,1,-7.26E-17,0
15,0,0,0,1,1.61E-16,0
16,8.63E-18,0,0,1,0,0
17,7.44E-18,1,0,0,0,0
18,-1.44E-16,0,1,0,0,0
19,0,7.29E-18,0,1,0,0
20,0,0,-1.85E-17,1,0,0
